"","x"
"1342","AL133166.1"
"1343","AC098588.3"
"1344","AL358944.1"
"1345","RGS22"
"1346","MAP3K20"
"1347","BACE2"
"1348","ARHGAP15"
"1349","SH3D19"
"1350","LINC02112"
"1351","SNTB1"
"1352","DIRC3"
"1353","TSBP1-AS1"
"1354","ARHGAP18"
"1355","EPB41L2"
"1356","PADI2"
"1357","SLC7A11"
"1358","HIST1H1D"
"1359","LINC01933"
"1360","SYNPO2"
"1361","SYNDIG1"
"1362","AC114971.1"
"1363","ARHGAP28"
"1364","LINC01684"
"1365","RAB27B"
"1366","CKAP2L"
"1367","RAB31"
"1368","AC104596.1"
"1369","AL445433.2"
"1370","EYA4"
"1371","SERPINI2"
"1372","INSYN2B"
"1373","LINC02694"
"1374","TNFAIP8"
"1375","AC007563.2"
"1376","EFHC2"
"1377","PTPRC"
"1378","CD44"
"1379","PPARGC1A"
"1380","PIK3R5"
"1381","ANO4"
"1382","HDAC2-AS2"
"1383","AK5"
"1384","PELI2"
"1385","KCNS3"
"1386","ITGA6"
"1387","DCDC2"
"1388","ZNF208"
"1389","RREB1"
"1390","LINC02789"
"1391","DIAPH2-AS1"
"1392","LINC00882"
"1393","ACSBG1"
"1394","HTR4"
"1395","STPG2"
"1396","LINC00159"
"1397","DEPDC1"
"1398","NTN1"
"1399","PRKCH"
"1400","DLEU7"
"1401","LINC02336"
"1402","LYPD6B"
"1403","AL138828.1"
"1404","PLCG2"
"1405","RAB12"
"1406","HGF"
"1407","AC114763.1"
"1408","AC018616.1"
"1409","EBF2"
"1410","AL034348.1"
"1411","LINC00504"
"1412","ABCC4"
"1413","AC061958.1"
"1414","GRIK4"
"1415","IKZF2"
"1416","ARHGAP11A"
"1417","ETS1"
"1418","LINC01579"
"1419","AC087280.2"
"1420","CFAP43"
"1421","CST3"
"1422","AF117829.1"
"1423","CKAP2"
"1424","DEPDC1B"
"1425","GNAL"
"1426","PLXNA2"
"1427","SLC6A1"
"1428","AL138701.2"
"1429","CSMD2"
"1430","NETO2"
"1431","AC018618.1"
"1432","ADAM12"
"1433","MAN2A1"
"1434","SESN3"
"1435","MND1"
"1436","TBL1X"
"1437","CLMP"
"1438","KCNN3"
"1439","CENPI"
"1440","AC025159.1"
"1441","AL596087.2"
"1442","LINC01182"
"1443","U91319.1"
"1444","COL9A1"
"1445","AL357052.1"
"1446","WWTR1"
"1447","LGR4"
"1448","ARHGAP31"
"1449","IPCEF1"
"1450","CRPPA"
"1451","TM4SF18"
"1452","AC117453.1"
"1453","LRP4"
"1454","HMGCS1"
"1455","MYBL1"
"1456","CAPS2"
"1457","PALMD"
"1458","DAW1"
"1459","ST8SIA1"
"1460","ROR2"
"1461","DUSP5"
"1462","C22orf15"
"1463","CH25H"
"1464","AQP9"
"1465","SLC2A5"
"1466","MALRD1"
"1467","ENOX2"
"1468","CDH11"
"1469","HMCN1"
"1470","AC104248.1"
"1471","AC097487.1"
"1472","CD86"
"1473","IL6R"
"1474","CACNA1C"
"1475","HS3ST2"
"1476","CAPSL"
"1477","SKAP2"
"1478","GABRA4"
"1479","SLC16A10"
"1480","UBE2C"
"1481","TYR"
"1482","HAPLN1"
"1483","UBA6-AS1"
"1484","AC024145.1"
"1485","ZIC1"
"1486","ESCO2"
"1487","SPATA17"
"1488","ITPR1"
"1489","ITGA1"
"1490","LIN28B"
"1491","ASTN2-AS1"
"1492","PLOD2"
"1493","CADPS"
"1494","MCUB"
"1495","ADGRG6"
"1496","LINC01776"
"1497","ANKRD7"
"1498","AC114316.1"
"1499","SCIN"
"1500","RFX4"
"1501","RNF217-AS1"
"1502","STOX1"
"1503","AL024495.1"
"1504","AC119868.2"
"1505","LINC00970"
"1506","SEMA6D"
"1507","LINC00648"
"1508","MPP7"
"1509","PAX6"
"1510","XRCC4"
"1511","ETV5"
"1512","GAS2"
"1513","RAPGEF5"
"1514","GALNT18"
"1515","AC079760.1"
"1516","AL356124.1"
"1517","NIBAN1"
"1518","PLEKHG1"
"1519","SCN1A-AS1"
"1520","VSNL1"
"1521","PTTG1"
"1522","AKAIN1"
"1523","RGSL1"
"1524","LINC01720"
"1525","SLC15A3"
"1526","LINC01479"
"1527","LINC02345"
"1528","TMEM117"
"1529","TEAD1"
"1530","FSTL1"
"1531","LINC01376"
"1532","DOCK11"
"1533","AL138773.1"
"1534","AC007656.2"
"1535","FSIP2"
"1536","AC110296.1"
"1537","AC092131.1"
"1538","MEG8"
"1539","MSRB3"
"1540","PTPRB"
"1541","AC044893.1"
"1542","SPARC"
"1543","LINC01301"
"1544","SLC14A2"
"1545","AC004158.1"
"1546","CNKSR3"
"1547","TTTY14"
"1548","AC087490.1"
"1549","AC007405.1"
"1550","KIAA0319"
"1551","LINC02327"
"1552","GRAMD2B"
"1553","EFCAB11"
"1554","FAM111B"
"1555","GRAMD1C"
"1556","ZNF423"
"1557","PTPN2"
"1558","NALCN"
"1559","TMEM182"
"1560","FANK1"
"1561","AP001825.1"
"1562","LINC00535"
"1563","PRDM16"
"1564","PRKN"
"1565","DTWD2"
"1566","MYO5B"
"1567","FNDC3B"
"1568","TMEM71"
"1569","SNCAIP"
"1570","AJ009632.2"
"1571","NR2F1-AS1"
"1572","AC104211.1"
"1573","FOXC1"
"1574","CEP152"
"1575","AC113137.1"
"1576","AC104781.2"
"1577","VEGFC"
"1578","HEG1"
"1579","DIO2-AS1"
"1580","SCGN"
"1581","TOX3"
"1582","CAMK4"
"1583","CCDC150"
"1584","AP000820.2"
"1585","TBC1D4"
"1586","TBXAS1"
"1587","PDE8A"
"1588","LINC01934"
"1589","CCDC102B"
"1590","ZBTB20-AS5"
"1591","NOSTRIN"
"1592","FANCI"
"1593","AP005203.1"
"1594","PROS1"
"1595","EPS8"
"1596","HIST1H3B"
"1597","TXK"
"1598","GFRA1"
"1599","PARM1"
"1600","AL133304.3"
"1601","RACGAP1"
"1602","LINC02664"
"1603","NTN4"
"1604","LRRC9"
"1605","MEF2C-AS1"
"1606","RASSF3"
"1607","SLC22A3"
"1608","AC008957.2"
"1609","LINC01500"
"1610","COL4A1"
"1611","GABRA1"
"1612","AC090630.1"
"1613","CSF3R"
"1614","HUNK"
"1615","AC002454.1"
"1616","INHBA"
"1617","AC098617.1"
"1618","KLF4"
"1619","TBL1Y"
"1620","AL512590.3"
"1621","ARHGEF26-AS1"
"1622","ABCC9"
"1623","PRTG"
"1624","OSBPL3"
"1625","HIST1H1C"
"1626","PRDM5"
"1627","AL445207.1"
"1628","C14orf39"
"1629","AL355838.1"
"1630","A2M"
"1631","EPHB1"
"1632","AP001021.3"
"1633","AC023282.1"
"1634","AC092958.1"
"1635","ETV6"
"1636","CDCA8"
"1637","KIF24"
"1638","TEC"
"1639","SV2C"
"1640","COMMD10"
"1641","AC013727.2"
"1642","AC105230.1"
"1643","LINC00598"
"1644","WDFY4"
"1645","BLM"
"1646","AL078459.1"
"1647","INTU"
"1648","SLC30A8"
"1649","AC007091.1"
"1650","SV2B"
"1651","HTR7"
"1652","AL162411.1"
"1653","RNF182"
"1654","AC138123.1"
"1655","DIPK2A"
"1656","RAPGEF4"
"1657","ITGB5"
"1658","AP000331.1"
"1659","AC091885.2"
"1660","CFAP65"
"1661","AC025887.2"
"1662","PTPRE"
"1663","PCGF5"
"1664","CEP128"
"1665","LINC02224"
"1666","B3GLCT"
"1667","CENPU"
"1668","CAV3"
"1669","ANKRD55"
"1670","KLF12"
"1671","NLGN4Y"
"1672","HIBADH"
"1673","PLPP4"
"1674","SHCBP1"
"1675","HMGA2-AS1"
"1676","ZNF438"
"1677","EXO1"
"1678","MPPED2-AS1"
"1679","ATXN1"
"1680","MYO1B"
"1681","AC023051.1"
"1682","PARP8"
"1683","PAMR1"
"1684","LINC02237"
"1685","CABCOCO1"
"1686","LRRIQ1"
"1687","GLCE"
"1688","NAV3"
"1689","STAC"
"1690","TACR3"
"1691","AC104041.1"
"1692","LINC00943"
"1693","MGMT"
"1694","LINC02143"
"1695","HELLS"
"1696","AR"
"1697","AC077690.1"
"1698","TM4SF1"
"1699","LEPR"
"1700","SLC25A43"
"1701","ZNF608"
"1702","NPAS1"
"1703","CRABP2"
"1704","RHOH"
"1705","MAP7"
"1706","RORA-AS1"
"1707","CYBRD1"
"1708","AC107223.1"
"1709","AL583808.1"
"1710","CCDC168"
"1711","NR2F2"
"1712","NLGN4X"
"1713","AC076968.2"
"1714","SNCA"
"1715","ADAMTS12"
"1716","PPARG"
"1717","STIL"
"1718","AC078923.1"
"1719","PRR11"
"1720","ADAMTS2"
"1721","TFEC"
"1722","AC092832.2"
"1723","MYO10"
"1724","CACNG3"
"1725","AKAP12"
"1726","PCSK6"
"1727","AC104078.2"
"1728","LPP"
"1729","TEX9"
"1730","LINC02326"
"1731","CNTNAP3"
"1732","AC004083.1"
"1733","VRK1"
"1734","BBOX1"
"1735","TFAP2D"
"1736","DPP10-AS3"
"1737","AC068931.1"
"1738","ELMO1-AS1"
"1739","LINC02284"
"1740","AC110614.1"
"1741","TMEM196"
"1742","PHACTR2"
"1743","LATS2"
"1744","LINC01508"
"1745","KIFC1"
"1746","LINC00472"
"1747","FN1"
"1748","PLA2G7"
"1749","AL033530.1"
"1750","AC091826.2"
"1751","CECR2"
"1752","CREM"
"1753","CACNA1A"
"1754","PTPN14"
"1755","AC090987.1"
"1756","C15orf41"
"1757","LINC01102"
"1758","ATP10A"
"1759","COL8A1"
"1760","XRCC2"
"1761","LGR6"
"1762","CAMK2D"
"1763","AFF2"
"1764","PLAG1"
"1765","SLC26A4"
"1766","SLAIN1"
"1767","LINC00571"
"1768","GUCY1A1"
"1769","TRIM22"
"1770","SYT10"
"1771","CHEK1"
"1772","AC005229.5"
"1773","RPH3A"
"1774","SRARP"
"1775","NID1"
"1776","SCHLAP1"
"1777","CCNT2-AS1"
"1778","SULT1C2"
"1779","CAVIN1"
"1780","MYO18B"
"1781","MYOZ2"
"1782","LINC00395"
"1783","PPP1R42"
"1784","CARD18"
"1785","AC068305.2"
"1786","RGS3"
"1787","AC090204.1"
"1788","TEX15"
"1789","PRRX1"
"1790","AC096570.2"
"1791","AC098829.1"
"1792","HIST1H2AC"
"1793","PRIM2"
"1794","AC006974.2"
"1795","LINC00621"
"1796","FAM83D"
"1797","SAMD12"
"1798","LINC01837"
"1799","AC246817.2"
"1800","APLF"
"1801","SKA3"
"1802","KLHL5"
"1803","TPTE2"
"1804","WDHD1"
"1805","KCNT2"
"1806","CYP7B1"
"1807","SOX21-AS1"
"1808","LEXM"
"1809","AC068489.1"
"1810","AC080068.1"
"1811","MGP"
"1812","C12orf50"
"1813","LINC00469"
"1814","HSPB8"
"1815","ISL1"
"1816","ZRANB2-AS2"
"1817","CASC1"
"1818","LHFPL2"
"1819","TNFAIP3"
"1820","AL034397.3"
"1821","LINC01495"
"1822","CMTM8"
"1823","TGIF2"
"1824","GXYLT2"
"1825","NYAP2"
"1826","GLYATL2"
"1827","C2orf73"
"1828","AC093523.1"
"1829","TIAM1"
"1830","SLC5A8"
"1831","VWA3A"
"1832","LINC01807"
"1833","ANGPT2"
"1834","PRKCA-AS1"
"1835","NPSR1"
"1836","E2F3"
"1837","RANBP17"
"1838","LINC00513"
"1839","CHRDL1"
"1840","TAF4B"
"1841","AURKB"
"1842","SYTL5"
"1843","LINC02642"
"1844","PLA2G4A"
"1845","GLCCI1"
"1846","AL357507.1"
"1847","SLCO3A1"
"1848","AL161717.1"
"1849","AC097528.1"
"1850","AC096711.2"
"1851","AL050309.1"
"1852","RASGRP3"
"1853","AC011474.1"
"1854","FRMD6"
"1855","SH3RF3"
"1856","TMEM232"
"1857","AP003049.2"
"1858","SIDT1"
"1859","DIPK2B"
"1860","AL136119.1"
"1861","AC018742.1"
"1862","KIAA1958"
"1863","FAT1"
"1864","NRP2"
"1865","VRK2"
"1866","CUX1"
"1867","FAM183A"
"1868","TLE1"
"1869","SGO1"
"1870","LINC00511"
"1871","KCNK13"
"1872","KIF26B-AS1"
"1873","PDE3B"
"1874","CERS3-AS1"
"1875","AC003991.1"
"1876","AC116362.1"
"1877","PIK3R1"
"1878","PKP4"
"1879","LEKR1"
"1880","SLC2A3"
"1881","AL513323.1"
"1882","UACA"
"1883","PRR5L"
"1884","MAGEC3"
"1885","CLSPN"
"1886","TTTY10"
"1887","ARHGAP12"
"1888","LINC00271"
"1889","DAPK2"
"1890","MEGF11"
"1891","CHRM3-AS2"
"1892","PPM1L"
"1893","CPVL"
"1894","VAT1L"
"1895","ARID5B"
"1896","LINC00200"
"1897","ST6GAL2"
"1898","RGS10"
"1899","CDH18-AS1"
"1900","ZBTB7C"
"1901","FAM155A"
"1902","SH3GL3"
"1903","LINC01829"
"1904","AC110014.1"
"1905","FKBP5"
"1906","GPR176"
"1907","AC079380.1"
"1908","SGK1"
"1909","BMP7"
"1910","AP000446.1"
"1911","ATG10"
"1912","SLC39A11"
"1913","BMP2K"
"1914","ARHGEF26"
"1915","AGTR1"
"1916","BCL11A"
"1917","SLC38A5"
"1918","LMO4"
"1919","SEMA3A"
"1920","AC012063.1"
"1921","AL359546.1"
"1922","TNFRSF19"
"1923","LINC01090"
"1924","LINC02775"
"1925","PRC1"
"1926","CLEC7A"
"1927","AL355672.1"
"1928","DCLK2"
"1929","DNAH6"
"1930","AC009879.4"
"1931","SUSD4"
"1932","C2orf27A"
"1933","CHRM5"
"1934","BGN"
"1935","AF130359.1"
"1936","CCNB2"
"1937","SIAH3"
"1938","TGFBR3"
"1939","AC113383.1"
"1940","CDH5"
"1941","AC007389.1"
"1942","GNA14"
"1943","BEST3"
"1944","AC005394.1"
"1945","AC109129.1"
"1946","MGAM"
"1947","ZNF365"
"1948","PALM2-AKAP2"
"1949","CCDC18"
"1950","ANKRD34C-AS1"
"1951","UFL1-AS1"
"1952","ZNF367"
"1953","IL6ST"
"1954","AC008571.2"
"1955","AC091946.1"
"1956","TPK1"
"1957","SCN7A"
"1958","STK17B"
"1959","SVIL"
"1960","DPEP1"
"1961","TRMT9B"
"1962","FAM222A-AS1"
"1963","SRBD1"
"1964","APCDD1"
"1965","AC034111.2"
"1966","AC037486.1"
"1967","LRGUK"
"1968","LRTM1"
"1969","WWC2"
"1970","SYT9"
"1971","LINC02607"
"1972","TFAP2C"
"1973","NTRK3"
"1974","AC084816.1"
"1975","PVT1"
"1976","ZBBX"
"1977","NIM1K"
"1978","MB21D2"
"1979","RBPJ"
"1980","CACNB4"
"1981","ADARB2-AS1"
"1982","LINC02163"
"1983","IRAK3"
"1984","SULF2"
"1985","ARHGEF6"
"1986","ENOSF1"
"1987","AC078785.1"
"1988","ANKRD30B"
"1989","LINC02328"
"1990","RAI14"
"1991","LRRC8C"
"1992","AC015631.1"
"1993","LINC00922"
"1994","SMAD9"
"1995","TRIM9"
"1996","ARHGAP44"
"1997","PAPSS2"
"1998","AC011346.1"
"1999","SEL1L3"
"2000","AC104073.4"
"2001","ADD3"
"2002","KCNJ6"
"2003","LRRK2"
"2004","SEMA5B"
"2005","GALNT7"
"2006","HHIP"
"2007","IL12RB2"
"2008","KBTBD12"
"2009","AL157829.1"
"2010","TCIM"
"2011","AC040168.1"
"2012","ADAMTS9-AS1"
"2013","CASC19"
"2014","AC012178.1"
"2015","AL136114.1"
"2016","LY86"
"2017","VSTM2A"
"2018","CFAP44"
"2019","DPYD-AS1"
"2020","ANO5"
"2021","NECTIN3-AS1"
"2022","SPATS2L"
"2023","KCND3"
"2024","HJURP"
"2025","AC008056.2"
"2026","FAM189A2"
"2027","AC245187.2"
"2028","LINC01111"
"2029","DNAH9"
"2030","TRPC7"
"2031","AC002377.1"
"2032","CDH23"
"2033","JAM2"
"2034","CRYBG3"
"2035","PWRN1"
"2036","AC104389.5"
"2037","PIK3R3"
"2038","DANT2"
"2039","AC093610.1"
"2040","FGF13"
"2041","LINC01340"
"2042","PEAK1"
"2043","PLSCR1"
"2044","GINS3"
"2045","LINC02652"
"2046","IKBIP"
"2047","BAG3"
"2048","AC096576.2"
"2049","COL4A2"
"2050","ID2"
"2051","PHLDB2"
"2052","SLC25A48"
"2053","AC012501.2"
"2054","RGS5"
"2055","MEPE"
"2056","ADAMTS16"
"2057","WDR72"
"2058","KCNH7"
"2059","SALL3"
"2060","AC245123.1"
"2061","VLDLR-AS1"
"2062","C1QTNF7"
"2063","CYP26A1"
"2064","FAM241A"
"2065","CLYBL"
"2066","CRISPLD1"
"2067","F3"
"2068","ACKR3"
"2069","PARVA"
"2070","C11orf88"
"2071","BEND6"
"2072","LINC00607"
"2073","FUT10"
"2074","FBXO5"
"2075","GDA"
"2076","AL356094.2"
"2077","IGSF11"
"2078","AC019130.1"
"2079","NRK"
"2080","STARD13-AS"
"2081","GBE1"
"2082","DOCK4"
"2083","PCLAF"
"2084","AC007432.1"
"2085","FAM149A"
"2086","ANK3"
"2087","AC008629.1"
"2088","AL138927.1"
"2089","AC090825.1"
"2090","ADAM32"
"2091","NHSL1"
"2092","C3orf67"
"2093","MIR181A2HG"
"2094","FOXN4"
"2095","AC079148.3"
"2096","ST5"
"2097","AC004949.1"
"2098","LINC02653"
"2099","ARG1"
"2100","STK32A"
"2101","CDKN3"
"2102","AC060765.1"
"2103","COL27A1"
"2104","FAM111A"
"2105","HNF4G"
"2106","KIF20B"
"2107","TACR1"
"2108","HTR1E"
"2109","AL158058.1"
"2110","B2M"
"2111","AASS"
"2112","CYBB"
"2113","AC093765.3"
"2114","RAD51AP1"
"2115","ABCA9"
"2116","MIR4435-2HG"
"2117","AC060234.3"
"2118","LINC02080"
"2119","CLEC1A"
"2120","LINC00326"
"2121","AL161757.4"
"2122","CA4"
"2123","AC005332.5"
"2124","SOCS3"
"2125","CFAP126"
"2126","BARX2"
"2127","AC072062.1"
"2128","CYYR1-AS1"
"2129","AL078604.4"
"2130","CXXC4"
"2131","GRID1"
"2132","ANKRD30BL"
"2133","LPAR3"
"2134","AC019117.2"
"2135","CACNG2"
"2136","TC2N"
"2137","DHRS7B"
"2138","FANCC"
"2139","AC004160.1"
"2140","GSTO2"
"2141","CDC14B"
"2142","CD99"
"2143","NCKAP5-AS2"
"2144","KLF2"
"2145","CPEB2"
"2146","GSG1L"
"2147","SHLD1"
"2148","AL390957.1"
"2149","SPAG16"
"2150","OPRM1"
"2151","ERI2"
"2152","GPR1"
"2153","THEMIS"
"2154","PPM1H"
"2155","SINHCAF"
"2156","SERTAD2"
"2157","RHBDF2"
"2158","AC016074.2"
"2159","LINC02233"
"2160","LINC01151"
"2161","ACSS3"
"2162","STAT4"
"2163","AC023480.1"
"2164","PRRG1"
"2165","TSBP1"
"2166","PDGFRB"
"2167","CCDC80"
"2168","GMDS"
"2169","SMAD3"
"2170","LINC02335"
"2171","SOAT1"
"2172","C21orf62-AS1"
"2173","LINC02144"
"2174","AVEN"
"2175","ELL2"
"2176","LPCAT2"
"2177","AC090809.1"
"2178","ATP8A2"
"2179","SPATA18"
"2180","AC069272.1"
"2181","TTYH1"
"2182","AC246817.1"
"2183","CORT"
"2184","CEMIP"
"2185","CEP83"
"2186","AL136441.1"
"2187","AL390800.1"
"2188","CELF2"
"2189","AC104035.1"
"2190","BDNF-AS"
"2191","DDX60L"
"2192","AC026167.1"
"2193","AC124290.1"
"2194","DRC1"
"2195","AHR"
"2196","DBF4"
"2197","TTYH2"
"2198","GINS1"
"2199","CYP39A1"
"2200","AP001636.3"
"2201","GABRG1"
"2202","ARFGEF3"
"2203","FGGY"
"2204","TOX2"
"2205","UPP2"
"2206","AC079385.1"
"2207","LINC02253"
"2208","AC104009.1"
"2209","AC010343.3"
"2210","AL033523.1"
"2211","FOXN2"
"2212","CTTNBP2"
"2213","ANO2"
"2214","GASK1B"
"2215","AC021086.1"
"2216","ZPBP"
"2217","ZCWPW2"
"2218","ELMOD1"
"2219","KIAA1324"
"2220","MTAP"
"2221","AC008957.1"
"2222","LINC02250"
"2223","AC012291.3"
"2224","AC013391.2"
"2225","EIF1B-AS1"
"2226","SERPINB9"
"2227","AC012349.1"
"2228","C4orf19"
"2229","STXBP5-AS1"
"2230","NSMCE2"
"2231","CA1"
"2232","DDR2"
"2233","SLC22A23"
"2234","MTUS1"
"2235","LINC01707"
"2236","TRIM59"
"2237","GEN1"
"2238","GAS1"
"2239","CHST11"
"2240","DGKH"
"2241","AC008127.1"
"2242","EPB41L3"
"2243","AC021613.1"
"2244","EFCAB2"
"2245","AC010991.1"
"2246","AC119673.2"
"2247","VAMP5"
"2248","PCDH10"
"2249","CFAP45"
"2250","KPNA2"
"2251","LINC01098"
"2252","PXDNL"
"2253","LINC00476"
"2254","NBAT1"
"2255","CCDC148"
"2256","LINC01331"
"2257","SWAP70"
"2258","DCLK3"
"2259","GLDC"
"2260","OSTN"
"2261","LINC02254"
"2262","SFRP4"
"2263","WARS2"
"2264","CXCL13"
"2265","ATF7IP2"
"2266","SGCG"
"2267","MALINC1"
"2268","ELAVL2"
"2269","RHBDD1"
"2270","ITGA4"
"2271","LINC02641"
"2272","GRK3"
"2273","FAM43A"
"2274","MME"
"2275","AP003464.1"
"2276","RBPMS"
"2277","BCAN"
"2278","MAMDC2"
"2279","SIPA1L2"
"2280","RFX3-AS1"
"2281","AC091973.1"
"2282","COL14A1"
"2283","CHRNA7"
"2284","AP000676.5"
"2285","DENND2C"
"2286","AC091646.1"
"2287","DUSP10"
"2288","LINC02141"
"2289","MIR548XHG"
"2290","FOXF2"
"2291","HHAT"
"2292","LINC02307"
"2293","NPFFR2"
"2294","MCHR2-AS1"
"2295","POLA1"
"2296","SAT1"
"2297","ZFY"
"2298","LURAP1L"
"2299","FRY"
"2300","PDE4D"
"2301","AC034268.2"
"2302","HMGN5"
"2303","LINC01798"
"2304","BACH1"
"2305","SLC17A8"
"2306","UBASH3B"
"2307","FABP7"
"2308","NID2"
"2309","HES6"
"2310","TACC3"
"2311","SNX24"
"2312","AL078590.2"
"2313","MAP3K21"
"2314","NR6A1"
"2315","USP6NL"
"2316","LINC01445"
"2317","SCN11A"
"2318","AL020994.2"
"2319","AC021752.1"
"2320","DDX60"
"2321","LINC01197"
"2322","LINC01980"
"2323","FANCB"
"2324","FBLN7"
"2325","SYT17"
"2326","BEND7"
"2327","C3orf67-AS1"
"2328","LIMD1"
"2329","APOC1"
"2330","DNM3"
"2331","AL590006.1"
"2332","MCHR2"
"2333","RAB39A"
"2334","METTL15"
"2335","AFF1"
"2336","GREM1"
"2337","METTL25"
"2338","IGFBPL1"
"2339","OIP5"
"2340","EPM2A"
"2341","LINC02615"
"2342","LINC02378"
"2343","EDNRB"
"2344","KCNK2"
"2345","DUBR"
"2346","AIM2"
"2347","KCNQ1OT1"
"2348","PGAP1"
"2349","CELSR1"
"2350","LINC00944"
"2351","LINC02355"
"2352","ZNF98"
"2353","NEO1"
"2354","DMGDH"
"2355","SLCO5A1"
"2356","NXN"
"2357","LINC01938"
"2358","ELOVL7"
"2359","PDGFB"
"2360","CD34"
"2361","PTCHD1"
"2362","AC012085.2"
"2363","MIPOL1"
"2364","SHC3"
"2365","RASGRP1"
"2366","AGBL1-AS1"
"2367","AC063944.1"
"2368","DYNLRB2"
"2369","LINC02568"
"2370","NDE1"
"2371","SETD7"
"2372","HS3ST3A1"
"2373","SOHLH2"
"2374","AL391840.1"
"2375","AP002026.1"
"2376","LINC01756"
"2377","AC079896.1"
"2378","AC008662.1"
"2379","AC004830.2"
"2380","GRASP"
"2381","LINC01203"
"2382","ABO"
"2383","LINC01644"
"2384","RRAS2"
"2385","PALD1"
"2386","VCAN-AS1"
"2387","STEAP1B"
"2388","LINC02649"
"2389","GLYAT"
"2390","AL079338.1"
"2391","LINC02217"
"2392","KIF9-AS1"
"2393","MCM10"
"2394","LINC01099"
"2395","AC087477.2"
"2396","GADD45B"
"2397","Z93930.2"
"2398","FTCDNL1"
"2399","PHKA1"
"2400","ZNF732"
"2401","RIN2"
"2402","CCDC171"
"2403","AC002066.1"
"2404","LINC01277"
"2405","LINC02246"
"2406","MPP5"
"2407","LINC01708"
"2408","SCG2"
"2409","AC110809.1"
"2410","AL513164.1"
"2411","HS3ST1"
"2412","AC004470.1"
"2413","LINC01501"
"2414","FAT4"
"2415","TPRG1"
"2416","LINC02755"
"2417","NAPEPLD"
"2418","SLC5A4-AS1"
"2419","DPP10-AS1"
"2420","PLK4"
"2421","PDLIM3"
"2422","AC011369.1"
"2423","AC017050.1"
"2424","MRPS30-DT"
"2425","YPEL2"
"2426","SOX9"
"2427","SYT16"
"2428","AL160314.2"
"2429","CAVIN3"
"2430","AC107204.1"
"2431","LHX9"
"2432","PTPRG-AS1"
"2433","AC079760.2"
"2434","JCAD"
"2435","DGKG"
"2436","TJP2"
"2437","PREX1"
"2438","YES1"
"2439","PPP2R2B"
"2440","GOLIM4"
"2441","LINC01793"
"2442","MBNL1"
"2443","PPP1R1C"
"2444","GRP"
"2445","AC021351.1"
"2446","RAD18"
"2447","SCML4"
"2448","LINC01951"
"2449","MYCT1"
"2450","CMC1"
"2451","AC011447.3"
"2452","PTGFR"
"2453","LINC02389"
"2454","LRRIQ3"
"2455","CC2D2B"
"2456","MKX"
"2457","GALM"
"2458","AC104803.1"
"2459","OSTF1"
"2460","AC004943.2"
"2461","LIX1-AS1"
"2462","KCNK1"
"2463","AL137024.1"
"2464","ADHFE1"
"2465","LRRC63"
"2466","GCNT2"
"2467","ADGRG2"
"2468","REPS2"
"2469","STPG2-AS1"
"2470","AC006116.8"
"2471","OLFML3"
"2472","NSUN7"
"2473","AC064875.1"
"2474","AP001172.1"
"2475","DEPTOR"
"2476","FOXJ1"
"2477","ZNF730"
"2478","AC113385.1"
"2479","ARHGAP19"
"2480","C12orf42"
"2481","BMP3"
"2482","AC111006.1"
"2483","AC090518.1"
"2484","DUSP16"
"2485","SEMA3D"
"2486","LINC02458"
"2487","ZBTB20-AS1"
"2488","PRKCQ"
"2489","DYNC2H1"
"2490","ADGRL3-AS1"
"2491","TIMP3"
"2492","AC009522.1"
"2493","ARL15"
"2494","ME1"
"2495","ITGAV"
"2496","AC022101.1"
"2497","HTR2A"
"2498","RBBP8"
"2499","TFDP2"
"2500","COL23A1"
"2501","AC008269.1"
"2502","HIST1H2AG"
"2503","OVOL2"
"2504","SLC9C1"
"2505","C9orf147"
"2506","ACER2"
"2507","TRHDE-AS1"
"2508","AC026116.1"
"2509","NRIP1"
"2510","TRIM5"
"2511","TGFA"
"2512","CLCN5"
"2513","DLX1"
"2514","AP000787.1"
"2515","VWF"
"2516","TMEM200A"
"2517","AC011389.1"
"2518","CD83"
"2519","EMX2OS"
"2520","AL110114.1"
"2521","AC099520.1"
"2522","AGAP1"
"2523","OSBPL1A"
"2524","AC137770.1"
"2525","OVCH1-AS1"
"2526","AC109492.1"
"2527","LINC01456"
"2528","AC092674.1"
"2529","AL512634.1"
"2530","CDC20"
"2531","GPC3"
"2532","AC093425.1"
"2533","AC009899.1"
"2534","C12orf60"
"2535","AC138627.1"
"2536","ST8SIA4"
"2537","CREB3L2"
"2538","AMMECR1"
"2539","CCDC122"
"2540","KLF5"
"2541","GLYATL1"
"2542","AC013265.1"
"2543","WARS2-AS1"
"2544","NEK5"
"2545","GNG4"
"2546","AL356295.1"
"2547","LHX2"
"2548","TSPAN12"
"2549","AL445623.2"
"2550","AC137494.1"
"2551","RPL34-AS1"
"2552","DGKI"
"2553","CDYL"
"2554","RMDN2-AS1"
"2555","GLIPR1L1"
"2556","PLCL2"
"2557","ALG14"
"2558","CFAP61"
"2559","KNTC1"
"2560","AC009623.1"
"2561","AC073091.4"
"2562","RSPH4A"
"2563","SLC1A2"
"2564","FAXDC2"
"2565","LINC02465"
"2566","LINC02269"
"2567","GABPB1"
"2568","AC040174.1"
"2569","WDR78"
"2570","NEK10"
"2571","DPP4"
"2572","S100A10"
"2573","HEATR5A"
"2574","AL591368.1"
